exercise_id,exercise_name,roles,file,relative_path,width,height,mode,status,reason,score
hip,Most,START/END,glute_bridge_start.png,Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_start.png,1536,1024,RGB,STRONG COLOR FIX,floor too pale/cold; wall too blue/cold; excessive floor highlight,2.2564094066619873
hip,Most,HERO,glute_bridge_hero.png,Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_hero.png,1536,1024,RGB,STRONG COLOR FIX,floor too pale/cold; wall too blue/cold; excessive floor highlight,2.189274708429972
inner_thigh,Zdvihy spodní nohy,START/END,inner_thigh_lift_start.png,Pilates Assets/02_Exercise_Cards/Inner Thigh Lift/inner_thigh_lift_start.png,1536,1024,RGB,STRONG COLOR FIX,floor too pale/cold; wall too blue/cold,2.1712661584218345
inner_thigh,Zdvihy spodní nohy,HERO,inner_thigh_lift_hero.png,Pilates Assets/02_Exercise_Cards/Inner Thigh Lift/inner_thigh_lift_hero.png,1535,1024,RGB,STRONG COLOR FIX,floor too pale/cold; wall too blue/cold; excessive floor highlight,2.1548113028208413
clam,Clamshell,START/END,clamshell_start.png,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_start.png,1536,1024,RGB,STRONG COLOR FIX,floor too pale/cold; wall too blue/cold; excessive floor highlight,1.9497137069702148
standing_oblique,Boční zkracovačky ve stoji,START,standing_oblique_crunch_start.png,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_start.png,1536,1024,RGB,STRONG COLOR FIX,floor too pale/cold; wall too blue/cold,1.87605619430542
hydrant,Fire Hydrant,HERO,fire_hydrant_hero.png,Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_hero.png,1536,1024,RGB,STRONG COLOR FIX,floor too pale/cold; wall too blue/cold,1.8068135579427083
rdl,Rumunský mrtvý tah,HERO,romanian_deadlift_hero.png,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_hero.png,1536,1024,RGB,STRONG COLOR FIX,floor too pale/cold,1.7872036298116047
row,Bent Over Row,HERO,bent_over_row_hero.png,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_hero.png,1536,1024,RGB,STRONG COLOR FIX,floor too pale/cold; wall too blue/cold,1.7861208120981853
row,Bent Over Row,START/END,bent_over_row_start.png,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_start.png,1536,1024,RGB,STRONG COLOR FIX,floor too pale/cold; wall too blue/cold,1.743426005045573
clam,Clamshell,HERO,clamshell_hero.png,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_hero.png,1536,1024,RGB,STRONG COLOR FIX,floor too pale/cold; wall too blue/cold; excessive floor highlight,1.705531358718872
rdl,Rumunský mrtvý tah,START/END,romanian_deadlift_start.png,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,1536,1024,RGB,STRONG COLOR FIX,floor too pale/cold,1.7045677502950032
sideleg,Unožování vleže na boku,HERO,side_leg_lift_hero.png,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_lift_hero.png,1536,1024,RGB,STRONG COLOR FIX,floor too pale/cold; wall too blue/cold,1.663382927576701
standing_oblique,Boční zkracovačky ve stoji,HERO,standing_oblique_crunch_hero.png,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,1.617469882965088
standing_side_bend,Úklony do stran ve stoje,END,standing_side_bend_end.png,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_end.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,1.4852595329284668
standing_side_bend,Úklony do stran ve stoje,HERO,standing_side_bend_hero.png,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_hero.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold; wall too blue/cold,1.4748454093933105
standing_side_bend,Úklony do stran ve stoje,START,standing_side_bend_start.png,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold; wall too blue/cold,1.460258960723877
thread,Protažení s rotací v kleku,START/END,thread_the_needle_start.png,Pilates Assets/02_Exercise_Cards/Thread the Needle/thread_the_needle_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold,1.4389038880666096
rollup,Rolování do sedu,START/END,roll_up_start.png,Pilates Assets/02_Exercise_Cards/Roll Up/roll_up_start.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,1.4279484748840332
hydrant,Fire Hydrant,START/END,fire_hydrant_start.png,Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold,1.413317600886027
sideleg,Unožování vleže na boku,START/END,side_leg_start.png,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too pale/cold; wall too blue/cold,1.3713042736053467
sidekick,Side Kick,END,side_kick_end.png,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_end.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold; excessive floor highlight,1.3317275047302246
triceps_kickback,Triceps Kickback,HERO,triceps_kickback_hero.png,Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,1.3071608543395996
