exercise_id,exercise_name,roles,file,relative_path,width,height,mode,status,reason,score,source_sha256
hip,Most,START/END,glute_bridge_start.png,Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_start.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.6919,48e96b5fa944b1b721cbc1be47c8903b7df78f92891e3f232d940b5e9ff602fd
hip,Most,HERO,glute_bridge_hero.png,Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_hero.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.6666,a5ce2eb2bd25dfdb230bbe12d632ee96752c5a74886016bd53c08e1c72ba1f2c
inner_thigh,Zdvihy spodní nohy,START/END,inner_thigh_lift_start.png,Pilates Assets/02_Exercise_Cards/Inner Thigh Lift/inner_thigh_lift_start.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.6554,77b4d779d586c6886b1f6f84be7991c0b494626c408f8da4c04f5e0e2906ed27
inner_thigh,Zdvihy spodní nohy,HERO,inner_thigh_lift_hero.png,Pilates Assets/02_Exercise_Cards/Inner Thigh Lift/inner_thigh_lift_hero.png,1535,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.6318,c94cf0b5aab5832b6e23daf6893a9092de99a2af0f14a68e2ff3eafcf45dea45
clam,Clamshell,START/END,clamshell_start.png,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_start.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.4822,bf8e7c9ab7481557b2212ac3579a0d7aa833dfa3da2fa1cf40bbb778a73fdd39
hydrant,Fire Hydrant,HERO,fire_hydrant_hero.png,Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_hero.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.3608,9c07dc7d308118049dc7f9587141df607719272a7372991c00510c5116f6e0f7
rdl,Rumunský mrtvý tah,HERO,romanian_deadlift_hero.png,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_hero.png,1536,1024,RGB,STRONG COLOR FIX,floor too cold,1.3204,0d275f39fbff3c996f5781b91f184ff196f6ed79de072217c1a7a7ee6a055f1f
clam,Clamshell,HERO,clamshell_hero.png,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_hero.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.3138,ac09cb19016b0a3d01e2c3e64ab90ab9388a317fd4cdd18dab75937dd314459a
row,Bent Over Row,HERO,bent_over_row_hero.png,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_hero.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.3071,1e8e825d5aeef4ebd4ff490a9935739e572302c079a313849d8d675572cfe39c
rdl,Rumunský mrtvý tah,START/END,romanian_deadlift_start.png,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,1536,1024,RGB,STRONG COLOR FIX,floor too cold,1.2798,a71abe8579ebb4504098de4e7d0bf5046e73ef7ced37988b03d438e18ff9b5e8
row,Bent Over Row,START/END,bent_over_row_start.png,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_start.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.2743,cccf25786473cefab11fed89a5cbd579596b405edf522cf1db7c1cd2390936a6
standing_oblique,Boční zkracovačky ve stoji,START,standing_oblique_crunch_start.png,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_start.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.2519,8dd03f9f937a76b379fb429a7fa514b2f13da1824a3a4ae1d0b24228cd6f674a
sideleg,Unožování vleže na boku,HERO,side_leg_lift_hero.png,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_lift_hero.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.2462,f51c761db9b7e8cf1c87cf8baaa897d460e4e0b3ac2980fe7c9aaf128b61aa90
thread,Protažení s rotací v kleku,START/END,thread_the_needle_start.png,Pilates Assets/02_Exercise_Cards/Thread the Needle/thread_the_needle_start.png,1536,1024,RGB,STRONG COLOR FIX,floor too cold,1.1238,f790996cc66bd3e78f7705a9d9aef70180f5c61f1765c41f84139522509cbb04
standing_oblique,Boční zkracovačky ve stoji,HERO,standing_oblique_crunch_hero.png,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_hero.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold,1.0795,4fdca51e97a68cfb287bee75c1a8398e259ebdcc74778134911db3a147b967df
hydrant,Fire Hydrant,START/END,fire_hydrant_start.png,Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_start.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.0648,7feb5c34886bb9cf5ccf8eb5e77bee1b01ccbf2d7e68d080260e147042271136
sideleg,Unožování vleže na boku,START/END,side_leg_start.png,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_start.png,1536,1024,RGB,STRONG COLOR FIX,wall too blue/cold; floor too cold,1.0205,77862d69f6b90163394d43f47c7f164d25de6393457b17af13d58a5ccec4fe5b
standing_side_bend,Úklony do stran ve stoje,END,standing_side_bend_end.png,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_end.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold; floor too cold,0.9976,2bbb677da56ffd21e45defe92a4fbdd9db1c0bb2cbd52137be99f69c416a2264
standing_side_bend,Úklony do stran ve stoje,HERO,standing_side_bend_hero.png,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold; floor too cold,0.9937,64ab7551f537a239827ebf502e60e6dacb75eccc6ad5ccf5a14d3c084f714f49
standing_side_bend,Úklony do stran ve stoje,START,standing_side_bend_start.png,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_start.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold; floor too cold,0.9781,c11ac4c7b5314973bbd2c8bc79dfb3949bdb4387706f571e650c3c62f9f80444
rainbow,Rainbow Leg Raise,HERO,rainbow_leg_raise_hero.png,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold; floor too cold,0.9596,8eb0298d62f9ebcc9b76ea428b9608882fa4dd28e5b5c1a6609eedd42e5b82c3
rollup,Rolování do sedu,START/END,roll_up_start.png,Pilates Assets/02_Exercise_Cards/Roll Up/roll_up_start.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.9521,ecaf9158a51511e6e137c83a91e43f9279ff9bb1c75f3f14289028cb2ab82d8a
thread,Protažení s rotací v kleku,HERO,thread_the_needle_hero.png,Pilates Assets/02_Exercise_Cards/Thread the Needle/thread_the_needle_hero.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.9482,e08939fd5cbeb2153d2b8e98b22c7bd985eab3fc4a708b28be2ad79893692ac6
sidekick,Side Kick,END,side_kick_end.png,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_end.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.8915,8b67db28dc3ce683e9d29116e12d5f2b067aa975d36f848d10a64f00a6489237
press,Tlaky s činkami nad hlavu,START/END,shoulder_press_start.png,Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_start.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold; floor too cold,0.8750,67b23cf015eba77126720237ced0e2cf81271c41fd23b2bb28c7ca5a8e218ec0
triceps_kickback,Triceps Kickback,HERO,triceps_kickback_hero.png,Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.8746,27443eabf131b7d468b3a0bc52d54273790222ff0ed07c6f1bdd942df759615e
swimming,Swimming,START/END,swimming_start.png,Pilates Assets/02_Exercise_Cards/Swimming/swimming_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.8642,95f80f2f9ea512d904f4ac9e34d1c40f1ca26de78418776a3c681362100b95b9
