exercise_ids,roles,source,candidate,status,source_sha256,candidate_sha256,dimensions,mode,format,horizon_y,mask_pixels,changed_pixels,changed_outside_environment_mask,wall_relative_shift_Lab,floor_relative_shift_Lab
hip,"hip:START,hip:END",Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_start.png,candidates/Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_start.png,STRONG COLOR FIX,38d74cdf7ee472b456cb545bba67696a3b925089cbbb9932300fafebe0cf03bb,a7beacfc6ab6573ade9f75cffb8a91fe34f8b5494b2f3382d918167fc5733b55,1536x1024,RGB,PNG,768,1121177,1121177,0,"[-1.188, 0.626, 3.6]","[-1.386, -1.012, 1.928]"
hip,hip:HERO,Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_hero.png,STRONG COLOR FIX,52dbbe56e6c424b333ea04daf37164760aab72b261312999c82bb26ce64a21b6,eaa145f2d7217a7c2b460cd36127a5c42f667c4b7d7c6acfceea4f3ef12ea1e4,1536x1024,RGB,PNG,797,1080594,1080594,0,"[-1.188, 0.772, 3.6]","[-1.386, -1.677, -0.449]"
rdl,"rdl:START,rdl:END",Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,candidates/Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,STRONG COLOR FIX,dd57f48952eefad6bf9a00343fdd247dffabe8c144cca4d80a8b45ba1b4f3667,d2e31a7124f6bf997f9d16338e8acc6d145a0b1b39d78dd3b509e19374805dad,1536x1024,RGB,PNG,695,1232948,1232948,0,"[-1.188, 0.689, 2.63]","[-1.386, -0.519, 3.766]"
rdl,rdl:HERO,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_hero.png,STRONG COLOR FIX,16e8b9a2992310a6cab59bb1541f36302564f6fb7fe578d8bda9fd23b59498e2,d3a014fddf1e3f2f7c7baa1b5bda81e90f1913725f7d8e43f0a8084ae83c6f14,1536x1024,RGB,PNG,694,1191483,1191483,0,"[-1.188, 0.212, 3.524]","[-1.386, -0.792, 4.032]"
hydrant,"hydrant:START,hydrant:END",Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_start.png,candidates/Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_start.png,STRONG COLOR FIX,253f47ba096fe2d3edf9d10d0fde8169d66e6dbda1360fd2d161e3a4e4972a28,f72819146aa0a95c9db0f09cff2b890d4c42710d113bfba15ec5abb32ce71fcf,1536x1024,RGB,PNG,755,1048842,1048842,0,"[-1.188, 0.554, 3.6]","[-1.14, -0.283, 2.25]"
hydrant,hydrant:HERO,Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_hero.png,STRONG COLOR FIX,11cf871fec46ea7faed32bab63ebd9f791c5e3d7624907046899a31e6f00a7b4,9a3c0ed62248116c61acf013069ffd6b5ebf5922577d080fc02769a179b25338,1536x1024,RGB,PNG,771,1029993,1029993,0,"[-1.188, 0.334, 3.6]","[-0.944, -0.746, 1.93]"
donkey,"donkey:START,donkey:END",Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_start.png,candidates/Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_start.png,STRONG COLOR FIX,4a52bc908cc5616bc94ea795a9aab08fd0bef91a575a5ca45040cdce8c6c0db8,eb3fe426eb91a7a7e101e10547ccd8a788b6e8fa506148c32bccce298681ed8f,1536x1024,RGB,PNG,758,1068158,1068158,0,"[-1.188, 0.418, 3.6]","[-0.394, -1.693, -1.787]"
donkey,donkey:HERO,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_hero.png,STRONG COLOR FIX,5c4d772d492aee5d9bd9eef55fbd4328f62ed5db017f5a0b63d651b4ae463493,af0f1aeddb67c8a2f1e1b9f7916e5fd5c58ca31b810e3e5cf863cad820508d09,1536x1024,RGB,PNG,779,1021595,1021595,0,"[-1.188, 0.481, 3.6]","[0.135, -2.075, -2.707]"
frog,"frog:START,frog:END",Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_start.png,candidates/Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_start.png,MINOR COLOR FIX,023676a06d9fd1d8a9d86f0aeb9cce86c273a6dbb7d3c7d48f570165a4387dcc,888f2bbb4215215c4415ea9149a7c907b4e93827dcee61bce1ca0b2489b06661,1536x1024,RGB,PNG,755,1143991,1143991,0,"[-1.188, 0.371, 0.991]","[-1.386, -0.748, 0.206]"
frog,frog:HERO,Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_hero.png,candidates/Pilates Assets/02_Exercise_Cards/Frog Pumps/frog_pumps_hero.png,MINOR COLOR FIX,090e68ecf8fac3e93f863b40380749d9b76ca672bfa211f56240785cd6333c14,04a3e7d2eea42bda8f1c744361492de4d6f402d1d247e9944331e9282245ef42,1536x1024,RGB,PNG,700,1108582,1108582,0,"[-1.188, 0.491, 1.87]","[-1.386, -1.721, -0.823]"
