exercise_id,frame_label,source_path,width,height,mode,format,sha256_before
rdl,START / END,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,1536,1024,RGB,PNG,17e6a41f2505478ab560dc5ec2b5722a69410b65cdb02b18682b428442fd8518
rdl,HERO,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_hero.png,1536,1024,RGB,PNG,79b58e458136d08dc910e5966bd0d3ef5f06306b9ec3d011e69bab9d239df152
hydrant,START / END,Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_start.png,1536,1024,RGB,PNG,912226f22ac17903c1991e83d51144ded00a44b299320db42a9c6797a2b6f783
hydrant,HERO,Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_hero.png,1536,1024,RGB,PNG,6822dd774a2b964c390f38b3a4e94e4c5ae06392ebbe976c9e1f6779c39660c7
sideleg,START / END,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_start.png,1536,1024,RGB,PNG,d506f29df78009a1a0574b08f7f341dcf2381d7c2ebba1cecee1c04f23a668c2
sideleg,HERO,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_lift_hero.png,1536,1024,RGB,PNG,9be9dd5848fbda43d61a35ee6572187cb4b2156f0a19e1d2a8deea483e364f82
clam,START / END,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_start.png,1536,1024,RGB,PNG,f49efcc80624b752d8fa74a459941d799f56bde5aac8d00f4735cff8905fb4e7
clam,HERO,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_hero.png,1536,1024,RGB,PNG,a4ed4f2258a1a9319644b00e63ce80e4e7fd42b9cb21580b3a735db428ecd38b
inner_thigh,START / END,Pilates Assets/02_Exercise_Cards/Inner Thigh Lift/inner_thigh_lift_start.png,1536,1024,RGB,PNG,55ccc1c62e43d3bde2f026b43d55421255b484197f2bcefffc16917d43641d1b
inner_thigh,HERO,Pilates Assets/02_Exercise_Cards/Inner Thigh Lift/inner_thigh_lift_hero.png,1536,1024,RGB,PNG,fe568e68d8b825b5d2ff6f9e583671b49991c0925399d9d153202e220fae83d4
hip,START / END,Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_start.png,1536,1024,RGB,PNG,a4560563c2160e71c5d8dfc5e38a4095127a68dca9598a86a27aab5af5001da6
hip,HERO,Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_hero.png,1536,1024,RGB,PNG,0a2ce198c0c41766724565c13b591a5a3839b04e848002ef01f4e3e2e701e713
figure_four,START / END,Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_start.png,1536,1024,RGB,PNG,d3df1aee9e5fe5bbce102e0ec93d6bde186f2fc24ed4097ecce0babb9b8e4e3f
figure_four,MID,Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_mid.png,1536,1024,RGB,PNG,73ee9bed7ac1ace90b06aefc6090269feb417c48a33bf93b6d3ca73bc5fa4232
figure_four,HERO,Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_hero.png,1536,1024,RGB,PNG,e29b8c233232061bfb013ef7d74e67e5f06ddbb963d795e5f2628c9818c6002e
sideplank,START / END,Pilates Assets/02_Exercise_Cards/Side Plank/side_plank_start.png,1536,1024,RGB,PNG,67211c832812fde512f0847eb9a209d65aef918c411d269841204db87be7ba93
sideplank,HERO,Pilates Assets/02_Exercise_Cards/Side Plank/side_plank_hero.png,1536,1024,RGB,PNG,67d93f038db9c216bec4e1b0c7d7d9022d05a84c55e5efd2618e3e7577f8e9bb
deadbug,START / END,Pilates Assets/02_Exercise_Cards/Dead Bug/dead_bug_start.png,1536,1024,RGB,PNG,762e5d77b7c74d59c54c256ece05809ab039c8b0ddfa2de38b899440b1559723
deadbug,HERO,Pilates Assets/02_Exercise_Cards/Dead Bug/dead_bug_hero.png,1536,1024,RGB,PNG,a3881954b58d1a50671609516bd53f03c06bfb226cb95fa0ec055b9139b4aab6
