exercise,frame,candidate,production,production_sha256_before,candidate_sha256,deployed_sha256,match
dumbbell_pullover,START/END,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/dumbbell_pullover/Dumbbell Pullover start.png,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover start.png,163d1e5334266ff63776782f0de71f2d0a2ece8c017fb7d79ec191efd1d835d2,89a860d07cf72187d39f36edb63e0831f4eab4e270a55d833db369f104a86e2f,89a860d07cf72187d39f36edb63e0831f4eab4e270a55d833db369f104a86e2f,True
rdl,HERO,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/rdl/romanian_deadlift_hero.png,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_hero.png,16e8b9a2992310a6cab59bb1541f36302564f6fb7fe578d8bda9fd23b59498e2,79b58e458136d08dc910e5966bd0d3ef5f06306b9ec3d011e69bab9d239df152,79b58e458136d08dc910e5966bd0d3ef5f06306b9ec3d011e69bab9d239df152,True
swimming,START/END,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/swimming/swimming_start.png,Pilates Assets/02_Exercise_Cards/Swimming/swimming_start.png,cc490aa68dfb3d9c4aabd0a842032a4c3565ae17d1fbe4e86b815b97abe6fba7,8a12b4e91a86ddd769bd16c8da8c34db0aa7df3414ad0005324798f8d7037556,8a12b4e91a86ddd769bd16c8da8c34db0aa7df3414ad0005324798f8d7037556,True
swimming,HERO,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/swimming/swimming_hero.png,Pilates Assets/02_Exercise_Cards/Swimming/swimming_hero.png,ecdca4c102578712bd9c50c200a12224ed8c5276f1df09e55735779e8f7dc04e,358f92224f6daebdd58e58944bb8e7586c721a17fc8ae9fc8c493bcf8522464e,358f92224f6daebdd58e58944bb8e7586c721a17fc8ae9fc8c493bcf8522464e,True
sidekick,START,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/sidekick/side_kick_start.png,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_start.png,10373503c0f003e51861ff18c3d68f3901d34bfaed58dcd552f13a46bc6a7ddd,61145781a32ca29a6d723ad5a0db7037a255117f4087053e4506e58ede3c3800,61145781a32ca29a6d723ad5a0db7037a255117f4087053e4506e58ede3c3800,True
sideleg,START/END,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/sideleg/side_leg_start.png,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_start.png,60ea5bf79aae4648610220d4e9e0efad417cb0eae065429b312b391372f39e09,d506f29df78009a1a0574b08f7f341dcf2381d7c2ebba1cecee1c04f23a668c2,d506f29df78009a1a0574b08f7f341dcf2381d7c2ebba1cecee1c04f23a668c2,True
row,START/END,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/row/bent_over_row_start.png,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_start.png,5dddb88e5a44582b1d6c09610b7da0cf9e88a1f88bd42aa12377c24d725116b6,186be2c8618756eeaf464c02acd6f3b9b230e3cf4e9aaf40fd9b1af35f08682e,186be2c8618756eeaf464c02acd6f3b9b230e3cf4e9aaf40fd9b1af35f08682e,True
row,HERO,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/row/bent_over_row_hero.png,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_hero.png,0547bcc9e6a67942a390aecdf269ab109eba137b062780a6da508d46585b8f13,16d5530cb8f6f7ce4c687d063d9205a59d5188fedfefacd00909fc2213227457,16d5530cb8f6f7ce4c687d063d9205a59d5188fedfefacd00909fc2213227457,True
chest_fly,START/END,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/chest_fly/chest_fly_start.png,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_start.png,988dc8d1ec3e3fcf7db67db1adc2a07924dcdc33229a66a5b488f842d6f443bf,22286e875ec4158bbcd96b75088ed598ba4aa7a3559b708ce8b9c141fec90267,22286e875ec4158bbcd96b75088ed598ba4aa7a3559b708ce8b9c141fec90267,True
chest_fly,HERO,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/chest_fly/chest_fly_hero.png,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_hero.png,26296bab461ca3087bf408a7de0e8851d511e98e8ae9b20ca5cb5c669d5f2e0c,a6b8583fbb45db41ed7121d5da897af55bdc726bf69a5ac3655320403d7d0c52,a6b8583fbb45db41ed7121d5da897af55bdc726bf69a5ac3655320403d7d0c52,True
