exercise,frame,source_path,master_match,intra_exercise_consistency,result,reason,candidate_path,floor_score_before,wall_score_before,total_score_before,floor_score_after,wall_score_after,total_score_after,outside_mask_changed_pixels,production_sha256,candidate_sha256
dumbbell_pullover,START/END,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover start.png,NO — WALL TOO COOL/BLUE,NO — wall temperature differs,OUTLIER,WALL TOO COOL/BLUE,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/dumbbell_pullover/Dumbbell Pullover start.png,10.744825689581086,14.310629745378712,12.349437514690017,10.744825689581086,8.052638890884147,9.533341630167463,0,163d1e5334266ff63776782f0de71f2d0a2ece8c017fb7d79ec191efd1d835d2,89a860d07cf72187d39f36edb63e0831f4eab4e270a55d833db369f104a86e2f
dumbbell_pullover,HERO,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover hero.png,YES,YES,PASS,Matches MASTER and exercise frames,,4.697386048935184,8.324815873026214,6.329729469776147,4.697386048935184,8.324815873026214,6.329729469776147,0,79dcccf626d20aa003806d97629a172ba510d98392968e0320a1284bf4526250,
rdl,START/END,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,YES,YES,PASS,Matches MASTER and exercise frames,,5.418862777093897,8.823526436003341,6.950961423603147,5.418862777093897,8.823526436003341,6.950961423603147,0,17e6a41f2505478ab560dc5ec2b5722a69410b65cdb02b18682b428442fd8518,
rdl,HERO,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_hero.png,NO — WALL TOO COOL/BLUE,NO — wall temperature differs,OUTLIER,WALL TOO COOL/BLUE,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/rdl/romanian_deadlift_hero.png,11.18360690088447,11.527630671044838,11.338417597456637,11.18360690088447,7.205246222987927,9.393344595831026,0,16e8b9a2992310a6cab59bb1541f36302564f6fb7fe578d8bda9fd23b59498e2,79b58e458136d08dc910e5966bd0d3ef5f06306b9ec3d011e69bab9d239df152
standing_oblique,START,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_start.png,YES,YES,PASS,Matches MASTER and exercise frames,,3.148563932896031,4.625347657802831,3.813116609104091,3.148563932896031,4.625347657802831,3.813116609104091,0,8a0d1db2f23a2a8f99ee1427dc709204c7945246b3850fb757544a0a456544c7,
standing_oblique,HERO,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_hero.png,YES,YES,PASS,Matches MASTER and exercise frames,,4.120768947987857,4.998635993567262,4.51580911849859,4.120768947987857,4.998635993567262,4.51580911849859,0,bf7e3e2cecdc172547b2a67f74ca5422e71dcd139d944b853d02a475c959b59b,
standing_oblique,END,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_end.png,YES,YES,PASS,Matches MASTER and exercise frames,,5.313711715432263,5.08779936036084,5.212051155650123,5.313711715432263,5.08779936036084,5.212051155650123,0,e98496f58ca706584d479b160d8bafbd9708212cc7e79601044e741db13a9f64,
standing_side_bend,START,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_start.png,YES,YES,PASS,Matches MASTER and exercise frames,,4.809423957814788,4.938490760138844,4.867504018860614,4.809423957814788,4.938490760138844,4.867504018860614,0,39f2e1c5b5e34ef69e67d57ab1fdb9904a3956e3085c4f4547e8f2275c568917,
standing_side_bend,HERO,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_hero.png,YES,YES,PASS,Matches MASTER and exercise frames,,2.7868815215478704,4.586784936836073,3.5968380584275623,2.7868815215478704,4.586784936836073,3.5968380584275623,0,0e61aa8303c9c20069fe4ce35950c06bcb1edae2a91eaa238d81399a5063a351,
standing_side_bend,END,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_end.png,YES,YES,PASS,Matches MASTER and exercise frames,,3.0668544165665192,4.6470916357212815,3.777961165186162,3.0668544165665192,4.6470916357212815,3.777961165186162,0,d2d37740f15735a8c8e71ada8cf94b9a9db06a87f28b9da3bdd7dae1aec6334e,
swimming,START/END,Pilates Assets/02_Exercise_Cards/Swimming/swimming_start.png,NO — WALL TOO COOL/BLUE,NO — wall temperature differs,OUTLIER,WALL TOO COOL/BLUE,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/swimming/swimming_start.png,9.629334158267088,8.590314367128794,9.161775252254856,9.629334158267088,6.321393933106965,8.140761056945033,0,cc490aa68dfb3d9c4aabd0a842032a4c3565ae17d1fbe4e86b815b97abe6fba7,8a12b4e91a86ddd769bd16c8da8c34db0aa7df3414ad0005324798f8d7037556
swimming,HERO,Pilates Assets/02_Exercise_Cards/Swimming/swimming_hero.png,NO — WALL TOO COOL/BLUE,NO — wall temperature differs,OUTLIER,WALL TOO COOL/BLUE,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/swimming/swimming_hero.png,5.91275411404305,7.338506158446998,6.554342534024827,5.91275411404305,3.5667337975063895,4.857044971601553,0,ecdca4c102578712bd9c50c200a12224ed8c5276f1df09e55735779e8f7dc04e,358f92224f6daebdd58e58944bb8e7586c721a17fc8ae9fc8c493bcf8522464e
sidekick,START,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_start.png,NO — WALL TOO COOL/BLUE,NO — wall temperature differs,OUTLIER,WALL TOO COOL/BLUE,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/sidekick/side_kick_start.png,9.215804172222779,8.512522971017315,8.89932763168032,9.215804172222779,3.662964147296685,6.717026161006037,0,10373503c0f003e51861ff18c3d68f3901d34bfaed58dcd552f13a46bc6a7ddd,61145781a32ca29a6d723ad5a0db7037a255117f4087053e4506e58ede3c3800
sidekick,HERO,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_hero.png,YES,YES,PASS,Matches MASTER and exercise frames,,4.887609188352473,5.1472011949803935,5.004425591335037,4.887609188352473,5.1472011949803935,5.004425591335037,0,6076c45b8fedaa6e3f4d1325e8b66031e903ad9cd566ddbdcab966182b19204d,
sidekick,END,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_end.png,YES,YES,PASS,Matches MASTER and exercise frames,,4.648236108791764,5.7085288545963895,5.125367844403845,4.648236108791764,5.7085288545963895,5.125367844403845,0,8a78768b821823001c234723b0022260ce6b7b1a5847715e6528c3442400aff1,
sideleg,START/END,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_start.png,NO — WALL TOO COOL/BLUE,NO — wall temperature differs,OUTLIER,WALL TOO COOL/BLUE,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/sideleg/side_leg_start.png,10.372322277146846,13.587231147553705,11.819031268829933,10.372322277146846,5.724199669780087,8.280667103831805,0,60ea5bf79aae4648610220d4e9e0efad417cb0eae065429b312b391372f39e09,d506f29df78009a1a0574b08f7f341dcf2381d7c2ebba1cecee1c04f23a668c2
sideleg,HERO,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_lift_hero.png,YES,YES,PASS,Matches MASTER and exercise frames,,5.65327088749921,4.534480973623336,5.149815426255067,5.65327088749921,4.534480973623336,5.149815426255067,0,9be9dd5848fbda43d61a35ee6572187cb4b2156f0a19e1d2a8deea483e364f82,
raise,START/END,Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_start.png,YES,YES,PASS,Matches MASTER and exercise frames,,4.062084046056011,6.711289578604339,5.2542265357027595,4.062084046056011,6.711289578604339,5.2542265357027595,0,aae7ecd8baa5fdc983acc01eee21f2085af47825f27239cacdc40048821f32dd,
raise,HERO,Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_hero.png,YES,YES,PASS,Matches MASTER and exercise frames,,4.027403540251648,6.907643874448929,5.323511690640425,4.027403540251648,6.907643874448929,5.323511690640425,0,1ef340dcfdb8fe7f8bad89ee7baddddb2e6b3466280ad454240e7ff12169e6f5,
row,START/END,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_start.png,NO — WALL TOO COOL/BLUE,NO — wall temperature differs,OUTLIER,WALL TOO COOL/BLUE,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/row/bent_over_row_start.png,9.487563173582227,10.378486538479928,9.888478687786193,9.487563173582227,4.639728070463962,7.306037377179008,0,5dddb88e5a44582b1d6c09610b7da0cf9e88a1f88bd42aa12377c24d725116b6,186be2c8618756eeaf464c02acd6f3b9b230e3cf4e9aaf40fd9b1af35f08682e
row,HERO,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_hero.png,NO — WALL TOO COOL/BLUE,NO — wall temperature differs,OUTLIER,WALL TOO COOL/BLUE,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/row/bent_over_row_hero.png,10.951132099933101,12.412679766947567,11.608828550089612,10.951132099933101,6.357615693468891,8.884049717024208,0,0547bcc9e6a67942a390aecdf269ab109eba137b062780a6da508d46585b8f13,16d5530cb8f6f7ce4c687d063d9205a59d5188fedfefacd00909fc2213227457
chest_fly,START/END,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_start.png,NO — WALL TOO COOL/BLUE,NO — wall temperature differs,OUTLIER,WALL TOO COOL/BLUE,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/chest_fly/chest_fly_start.png,7.080767733018785,9.893665922413046,8.346571918246203,7.080767733018785,5.054367032889354,6.168887417960542,0,988dc8d1ec3e3fcf7db67db1adc2a07924dcdc33229a66a5b488f842d6f443bf,22286e875ec4158bbcd96b75088ed598ba4aa7a3559b708ce8b9c141fec90267
chest_fly,HERO,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_hero.png,NO — WALL TOO COOL/BLUE,NO — wall temperature differs,OUTLIER,WALL TOO COOL/BLUE,Pilates Assets/03_Exports/FINAL_TARGETED_ENVIRONMENT_OUTLIER_PASS/CANDIDATES/chest_fly/chest_fly_hero.png,9.394154082135044,14.077340897172594,11.501588148901941,9.394154082135044,8.660526044657326,9.064021465270072,0,26296bab461ca3087bf408a7de0e8851d511e98e8ae9b20ca5cb5c669d5f2e0c,a6b8583fbb45db41ed7121d5da897af55bdc726bf69a5ac3655320403d7d0c52
