exercise_id,frame,source_path,width,height,floor_score,wall_score,total_score,floor_diagnosis,wall_diagnosis,rank
chest_press,HERO,Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_hero.png,1536,1024,16.8376,13.4080,15.2943,TOO ORANGE,TOO COOL/BLUE,1
sidekick,END,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_end.png,1536,1024,14.8339,15.4084,15.0924,TOO PINK; TOO PALE,TOO COOL/BLUE,2
triceps_kickback,HERO,Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_hero.png,1536,1024,14.8193,14.9997,14.9005,TOO ORANGE,TOO COOL/BLUE,3
triceps_kickback,START/END,Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_start.png,1536,1024,14.3672,14.6144,14.4784,TOO PINK; TOO PALE,TOO COOL/BLUE,4
standing_oblique,START,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_start.png,1536,1024,9.4150,20.3080,14.3168,TOO COOL; TOO GRAY,TOO COOL/BLUE,5
chest_press,START/END,Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_start.png,1536,1024,14.5694,12.1170,13.4658,TOO ORANGE,TOO COOL/BLUE,6
rollup,START/END,Pilates Assets/02_Exercise_Cards/Roll Up/roll_up_start.png,1536,1024,12.8347,13.9133,13.3201,TOO ORANGE,TOO COOL/BLUE,7
clam,START/END,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_start.png,1536,1024,9.0987,18.2297,13.2077,TOO COOL,TOO COOL/BLUE,8
raise,HERO,Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_hero.png,1536,1024,12.4190,13.9835,13.1230,TOO PINK,TOO COOL/BLUE,9
raise,START/END,Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_start.png,1536,1024,12.7746,13.2580,12.9921,TOO PINK,TOO COOL/BLUE,10
donkey,HERO,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_hero.png,1536,1024,9.7525,15.5717,12.3712,TOO ORANGE,TOO COOL/BLUE,11
dumbbell_pullover,START/END,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover start.png,1536,1024,10.7448,14.3106,12.3494,TOO PINK; TOO PALE,TOO COOL/BLUE,12
inner_thigh,HERO,Pilates Assets/02_Exercise_Cards/Inner Thigh Lift/inner_thigh_lift_hero.png,1536,1024,8.0175,17.6098,12.3340,PASS,TOO COOL/BLUE,13
sidekick,HERO,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_hero.png,1536,1024,11.5815,13.1511,12.2878,TOO PINK; TOO PALE,TOO COOL/BLUE,14
sideleg,HERO,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_lift_hero.png,1536,1024,11.6633,12.5712,12.0719,TOO COOL; TOO PALE; TOO GRAY,TOO COOL/BLUE,15
rdl,START/END,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,1536,1024,11.6982,12.1696,11.9103,TOO COOL; TOO PALE,TOO COOL/BLUE,16
standing_oblique,HERO,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_hero.png,1536,1024,7.0133,17.8763,11.9016,TOO COOL,TOO COOL/BLUE,17
hip,START/END,Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_start.png,1536,1024,6.9796,17.8615,11.8764,PASS,TOO COOL/BLUE,18
sideleg,START/END,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_start.png,1536,1024,10.3723,13.5872,11.8190,TOO COOL; TOO PALE,TOO COOL/BLUE,19
standing_side_bend,HERO,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_hero.png,1536,1024,8.7282,15.2548,11.6652,TOO PINK,TOO COOL/BLUE,20
dumbbell_pullover,HERO,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover hero.png,1536,1024,9.4351,14.3641,11.6532,TOO PALE,TOO COOL/BLUE,21
standing_side_bend,START,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_start.png,1536,1024,8.7939,15.0672,11.6169,TOO PINK,TOO COOL/BLUE,22
row,HERO,Pilates Assets/02_Exercise_Cards/Bent Over Row/bent_over_row_hero.png,1536,1024,10.9511,12.4127,11.6088,TOO COOL; TOO PALE,TOO COOL/BLUE,23
chest_fly,HERO,Pilates Assets/02_Exercise_Cards/Chest Fly/chest_fly_hero.png,1536,1024,9.3942,14.0773,11.5016,TOO PALE,TOO COOL/BLUE,24
rdl,HERO,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_hero.png,1536,1024,11.1836,11.5276,11.3384,TOO COOL; TOO PALE,TOO COOL/BLUE,25
rainbow,HERO,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_hero.png,1536,1024,10.1017,12.8213,11.3255,TOO COOL; TOO PALE; TOO GRAY,TOO COOL/BLUE,26
hip,HERO,Pilates Assets/02_Exercise_Cards/Glute Bridge/glute_bridge_hero.png,1536,1024,6.2062,17.5390,11.3060,PASS,TOO COOL/BLUE,27
clam,HERO,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_hero.png,1536,1024,11.4491,10.9105,11.2068,TOO COOL; TOO PALE; TOO GRAY,TOO COOL/BLUE,28
standing_side_bend,END,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_end.png,1536,1024,7.4838,15.6894,11.1763,TOO PINK,TOO COOL/BLUE,29
plie,HERO,Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_hero.png,1536,1024,9.3979,13.2611,11.1363,TOO PINK,TOO COOL/BLUE,30
