exercise_id,frame,source_path,candidate_path,floor_diagnosis_before,wall_diagnosis_before,total_score_before,floor_diagnosis_after,wall_diagnosis_after,total_score_after,floor_score_before,floor_score_after,wall_score_before,wall_score_after,outside_mask_changed_pixels,changed_pixels,source_sha256,candidate_sha256
chest_press,HERO,Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_hero.png,Pilates Assets/03_Exports/MASTER_ENVIRONMENT_V02_OUTLIER_FIX/CANDIDATES/chest_press/chest_press_hero.png,TOO ORANGE,TOO COOL/BLUE,15.294298413113804,PASS,PASS,4.6486954890336385,16.837615446668078,4.879649589625118,13.40802203876969,4.366418254977386,0,1063470,68a235be48f148282e9ddeeb0e68e786d35fe1dea07234757d0f2ccd6ec0a81c,d0e83a055ea8a783de1b7e280a6655b969320de333e5fc5519c5b97e1ede61b5
sidekick,END,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_end.png,Pilates Assets/03_Exports/MASTER_ENVIRONMENT_V02_OUTLIER_FIX/CANDIDATES/sidekick/side_kick_end.png,TOO PINK; TOO PALE,TOO COOL/BLUE,15.092410771651828,PASS,PASS,5.125367844403845,14.8338588662536,4.648236108791764,15.408418656027438,5.7085288545963895,0,1049501,94264392b9293e7295d08a5a373221ff4ac90bcce0737b598af313b91bebdbbb,8a78768b821823001c234723b0022260ce6b7b1a5847715e6528c3442400aff1
triceps_kickback,HERO,Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_hero.png,Pilates Assets/03_Exports/MASTER_ENVIRONMENT_V02_OUTLIER_FIX/CANDIDATES/triceps_kickback/triceps_kickback_hero.png,TOO ORANGE,TOO COOL/BLUE,14.900456542601345,PASS,PASS,5.70780331866932,14.819256248188296,5.578278321726501,14.999701346883958,5.866111648266098,0,1187895,92d46c6dc58058c0e339966979fe630b16ea062934079888de85c5a1e3e26bea,724935ca9f9294b7bc5d372e580ad635b6043dddbb1ade72053df6b3bb880005
triceps_kickback,START/END,Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_start.png,Pilates Assets/03_Exports/MASTER_ENVIRONMENT_V02_OUTLIER_FIX/CANDIDATES/triceps_kickback/triceps_kickback_start.png,TOO PINK; TOO PALE,TOO COOL/BLUE,14.4784103676932,PASS,PASS,4.972267537835334,14.36715324525335,3.7321124426906587,14.614391295119685,6.4880126541232706,0,1186111,04adc6445956fc047d04fab07db1e1d09215a2a1acbec472ae7f8140f6ed7e6b,4c33cf9b6af79de86567a508a3283c4f3c0ccd70c621bd9627b06927193b3c43
standing_oblique,START,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_start.png,Pilates Assets/03_Exports/MASTER_ENVIRONMENT_V02_OUTLIER_FIX/CANDIDATES/standing_oblique/standing_oblique_crunch_start.png,TOO COOL; TOO GRAY,TOO COOL/BLUE,14.316843549939119,PASS,PASS,3.813116609104091,9.414982741179205,3.148563932896031,20.308006760645682,4.625347657802831,0,1134904,181d2519da5f3b8fb2a3a5575ff84622eda9faeebd113770624e851d6d34132e,8a0d1db2f23a2a8f99ee1427dc709204c7945246b3850fb757544a0a456544c7
chest_press,START/END,Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_start.png,Pilates Assets/03_Exports/MASTER_ENVIRONMENT_V02_OUTLIER_FIX/CANDIDATES/chest_press/chest_press_start.png,TOO ORANGE,TOO COOL/BLUE,13.465833510688766,PASS,PASS,4.755530976501591,14.569403757617481,5.23355388172095,12.117025431109225,4.171280759011262,0,1084415,6836b68bcec155bf5bb90703fb0a63f0d2d52c99a7f7d3c26b8568951117ff7d,66f1cca8ccc90e516a1894cf0f6a463360f03552300ec83676723b3f57b2b3d4
rollup,START/END,Pilates Assets/02_Exercise_Cards/Roll Up/roll_up_start.png,Pilates Assets/03_Exports/MASTER_ENVIRONMENT_V02_OUTLIER_FIX/CANDIDATES/rollup/roll_up_start.png,TOO ORANGE,TOO COOL/BLUE,13.320056313060547,PASS,PASS,2.9399094573658773,12.834702867805243,3.5994485719700595,13.913266079483698,2.133806095071876,0,1198626,c887c1042757f6f37f76cdebd982182f70e015931659bb5df860433a5f402e0b,eb4afd992ab2ee21de775afb32e469b09d3bc42115a6d084ce1341cb8c9c7899
clam,START/END,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_start.png,Pilates Assets/03_Exports/MASTER_ENVIRONMENT_V02_OUTLIER_FIX/CANDIDATES/clam/clamshell_start.png,TOO COOL,TOO COOL/BLUE,13.2076720775664,PASS,PASS,4.9649898707528735,9.098730239772445,6.145447212322468,18.229712101536787,3.5222086755011457,0,1133992,3d4bfd626d4ce235c16e8eb451ad5e2106f183a5780c3bd0125f823c1ad6286d,f49efcc80624b752d8fa74a459941d799f56bde5aac8d00f4735cff8905fb4e7
raise,HERO,Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_hero.png,Pilates Assets/03_Exports/MASTER_ENVIRONMENT_V02_OUTLIER_FIX/CANDIDATES/raise/lateral_raise_hero.png,TOO PINK,TOO COOL/BLUE,13.122994621641762,PASS,PASS,5.323511690640425,12.418981711281628,4.027403540251648,13.98345484541526,6.907643874448929,0,1172894,a12091fb4533d8b5ca8e170c2a108b5032aa27ed1fb38a1f12ae085a38bbcc89,1ef340dcfdb8fe7f8bad89ee7baddddb2e6b3466280ad454240e7ff12169e6f5
raise,START/END,Pilates Assets/02_Exercise_Cards/Lateral Raise/lateral_raise_start.png,Pilates Assets/03_Exports/MASTER_ENVIRONMENT_V02_OUTLIER_FIX/CANDIDATES/raise/lateral_raise_start.png,TOO PINK,TOO COOL/BLUE,12.992128651575364,PASS,PASS,5.2542265357027595,12.774577604215276,4.062084046056011,13.258024376126583,6.711289578604339,0,1166779,cdea7778ad8e2f2361119525ad5248701b3d55e91cec023a18300dc20a4d7841,aae7ecd8baa5fdc983acc01eee21f2085af47825f27239cacdc40048821f32dd
