exercise_id,frame,source_path,simulated_source,floor_score,wall_score,total_score,floor_diagnosis,wall_diagnosis,simulated_rank
donkey,HERO,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_hero.png,Pilates Assets/02_Exercise_Cards/Donkey Kick/donkey_kick_hero.png,9.752530876776875,15.571713837119074,12.371163208930865,TOO ORANGE,TOO COOL/BLUE,1
sidekick,HERO,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_hero.png,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_hero.png,11.581485903321143,13.151103227310188,12.287813699116214,TOO PINK; TOO PALE,TOO COOL/BLUE,3
sideleg,HERO,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_lift_hero.png,Pilates Assets/02_Exercise_Cards/Side Leg Lift/side_leg_lift_hero.png,11.663295326092326,12.571200184043612,12.071852512170405,TOO COOL; TOO PALE; TOO GRAY,TOO COOL/BLUE,4
rdl,START/END,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,Pilates Assets/02_Exercise_Cards/Romanian Deadlift/romanian_deadlift_start.png,11.698156351327247,12.169628654799977,11.910318887889975,TOO COOL; TOO PALE,TOO COOL/BLUE,5
standing_side_bend,HERO,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_hero.png,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_hero.png,8.728235648911223,15.254839220532432,11.665207256140768,TOO PINK,TOO COOL/BLUE,7
dumbbell_pullover,HERO,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover hero.png,Pilates Assets/02_Exercise_Cards/Dumbbell Pullover/Dumbbell Pullover hero.png,9.4350998512849,14.364144084035042,11.653169756022464,TOO PALE,TOO COOL/BLUE,8
standing_side_bend,START,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_start.png,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_start.png,8.793947991998166,15.067224979263793,11.616922636267699,TOO PINK,TOO COOL/BLUE,9
clam,HERO,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_hero.png,Pilates Assets/02_Exercise_Cards/Clamshell/clamshell_hero.png,11.449131904997472,10.910525412164576,11.20675898322267,TOO COOL; TOO PALE; TOO GRAY,TOO COOL/BLUE,14
standing_side_bend,END,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_end.png,Pilates Assets/02_Exercise_Cards/Standing Side Bend/standing_side_bend_end.png,7.483773197243805,15.689421316242818,11.17631485079336,TOO PINK,TOO COOL/BLUE,15
hydrant,START/END,Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_start.png,Pilates Assets/02_Exercise_Cards/Fire Hydrant/fire_hydrant_start.png,6.077807854436137,15.055562835136275,10.117797595751199,PASS,TOO COOL/BLUE,22
